tmdb_id,tmdb_title,rt_title,rt_year,similarity
862,Toy Story,Toy Story,1995,1.0
8844,Jumanji,Jumanji,1995,1.0
15602,Grumpier Old Men,Grumpier Old Men,1995,1.0
31357,Waiting to Exhale,Waiting to Exhale,1995,1.0
11862,Father of the Bride Part II,Father of the Bride Part II,1995,1.0
949,Heat,Heat,1995,1.0
45325,Tom and Huck,Tom and Huck,1995,1.0
9091,Sudden Death,Sudden Death,1995,1.0
710,GoldenEye,GoldenEye,1995,1.0
9087,The American President,The American President,1995,1.0
12110,Dracula: Dead and Loving It,Dracula: Dead and Loving It,1995,1.0
21032,Balto,Balto,1995,1.0
10858,Nixon,Nixon,1995,1.0
1408,Cutthroat Island,Cutthroat Island,1995,1.0
524,Casino,Casino,1995,1.0
4584,Sense and Sensibility,Sense and Sensibility,1995,1.0
5,Four Rooms,Four Rooms,1995,1.0
9273,Ace Ventura: When Nature Calls,Ace Ventura: When Nature Calls,1995,1.0
11517,Money Train,Money Train,1995,1.0
8012,Get Shorty,Get Shorty,1995,1.0
1710,Copycat,Copycat,1995,1.0
9691,Assassins,Assassins,1995,1.0
12665,Powder,Powder,1995,1.0
451,Leaving Las Vegas,Leaving Las Vegas,1995,1.0
16420,Othello,Othello,1995,1.0
9263,Now and Then,Now and Then,1995,1.0
902,The City of Lost Children,The City of Lost Children,1995,1.0
37557,Shanghai Triad,Shanghai Triad,1995,1.0
9909,Dangerous Minds,Dangerous Minds,1995,1.0
78802,Wings of Courage,Wings of Courage,1995,1.0
9598,Babe,Babe,1995,1.0
47018,Carrington,Carrington,1995,1.0
687,Dead Man Walking,Dead Man Walking,1995,1.0
139405,Across the Sea of Time,Across the Sea of Time,1995,1.0
33689,It Takes Two,It Takes Two,1995,1.0
9603,Clueless,Clueless,1995,1.0
34615,"Cry, the Beloved Country","Cry, the Beloved Country",1995,1.0
31174,Richard III,Richard III,1995,1.0
11443,Dead Presidents,Dead Presidents,1995,1.0
35196,Restoration,Restoration,1995,1.0
577,To Die For,To Die For,1995,1.0
11861,How To Make An American Quilt,How to Make an American Quilt,1995,1.0
807,Se7en,Se7en,1995,1.0
10530,Pocahontas,Pocahontas,1995,1.0
8391,When Night Is Falling,When Night Is Falling,1995,1.0
629,The Usual Suspects,The Usual Suspects,1995,1.0
