title,year,imdb_rating,rt_score,metascore
Toy Story,1995,8.3,100%,96
Jumanji,1995,7.1,53%,39
Grumpier Old Men,1995,6.7,20%,46
Waiting to Exhale,1995,6.0,56%,N/A
Father of the Bride Part II,1995,6.1,54%,49
Heat,1995,8.3,84%,76
Sabrina,1954,7.6,89%,72
Tom and Huck,1995,5.5,25%,N/A
Sudden Death,1995,5.9,53%,N/A
GoldenEye,1995,7.2,80%,65
The American President,1995,6.8,91%,68
Dracula: Dead and Loving It,1995,5.9,11%,N/A
Balto,1995,7.1,54%,N/A
Nixon,1995,7.0,77%,66
Cutthroat Island,1995,5.7,40%,37
Casino,1995,8.2,79%,73
Sense and Sensibility,1995,7.7,97%,84
Four Rooms,1995,6.7,13%,N/A
Ace Ventura: When Nature Calls,1995,6.4,23%,43
Money Train,1995,5.7,22%,N/A
Get Shorty,1995,6.9,89%,81
Copycat,1995,6.6,76%,54
Assassins,1995,6.3,18%,N/A
Powder,1995,6.6,50%,N/A
Leaving Las Vegas,1995,7.5,90%,82
Othello,1995,6.8,68%,N/A
Now and Then,1995,6.8,36%,50
Persuasion,2022,5.8,30%,42
The City of Lost Children,1995,7.4,80%,73
Shanghai Triad,1995,7.1,90%,77
Dangerous Minds,1995,6.5,36%,46
The Hamster Factor and Other Tales of Twelve Monkeys,1996,7.6,,N/A
Wings of Courage,1995,6.4,,N/A
Babe,1995,6.9,98%,83
Carrington,1995,6.8,58%,N/A
Dead Man Walking,1995,7.5,97%,80
Across the Sea of Time,1995,6.4,,N/A
It Takes Two,1995,6.0,8%,45
Clueless,1995,6.9,,73
"Cry, the Beloved Country",1995,6.8,85%,71
Richard III,1995,7.3,96%,86
Dead Presidents,1995,6.9,47%,N/A
Restoration,1995,6.6,71%,66
Mortal Kombat,2021,6.1,55%,44
To Die For,1995,6.8,88%,86
How to Make an American Quilt,1995,6.3,62%,N/A
Se7en,1995,8.6,84%,65
Pocahontas,1995,6.7,58%,59
When Night Is Falling,1995,6.5,56%,N/A
The Usual Suspects,1995,8.5,87%,76
