id,title,original_title,release_date,budget,revenue,runtime,genres,popularity,release_year,cast_top3,director
862,Toy Story,Toy Story,1995-10-30,30000000,373554033.0,81.0,Animation|Comedy|Family,21.946943,1995,,
8844,Jumanji,Jumanji,1995-12-15,65000000,262797249.0,104.0,Adventure|Fantasy|Family,17.015539,1995,,
15602,Grumpier Old Men,Grumpier Old Men,1995-12-22,0,0.0,101.0,Romance|Comedy,11.7129,1995,Walter Matthau|Jack Lemmon|Ann-Margret,
31357,Waiting to Exhale,Waiting to Exhale,1995-12-22,16000000,81452156.0,127.0,Comedy|Drama|Romance,3.859495,1995,,
11862,Father of the Bride Part II,Father of the Bride Part II,1995-02-10,0,76578911.0,106.0,Comedy,8.387519,1995,Steve Martin|Diane Keaton|Martin Short,
949,Heat,Heat,1995-12-15,60000000,187436818.0,170.0,Action|Crime|Drama,17.924927,1995,,
11860,Sabrina,Sabrina,1995-12-15,58000000,0.0,127.0,Comedy|Romance,6.677277,1995,,
45325,Tom and Huck,Tom and Huck,1995-12-22,0,0.0,97.0,Action|Adventure|Drama,2.561161,1995,Jonathan Taylor Thomas|Brad Renfro|Rachael Leigh Cook,
9091,Sudden Death,Sudden Death,1995-12-22,35000000,64350171.0,106.0,Action|Adventure|Thriller,5.23158,1995,,
710,GoldenEye,GoldenEye,1995-11-16,58000000,352194034.0,130.0,Adventure|Action|Thriller,14.686036,1995,,
9087,The American President,The American President,1995-11-17,62000000,107879496.0,106.0,Comedy|Drama|Romance,6.318445,1995,,
12110,Dracula: Dead and Loving It,Dracula: Dead and Loving It,1995-12-22,0,0.0,88.0,Comedy|Horror,5.430331,1995,Leslie Nielsen|Mel Brooks|Amy Yasbeck,
21032,Balto,Balto,1995-12-22,0,11348324.0,78.0,Family|Animation|Adventure,12.140733,1995,,
10858,Nixon,Nixon,1995-12-22,44000000,13681765.0,192.0,History|Drama,5.092,1995,,
1408,Cutthroat Island,Cutthroat Island,1995-12-22,98000000,10017322.0,119.0,Action|Adventure,7.284477,1995,,
524,Casino,Casino,1995-11-22,52000000,116112375.0,178.0,Drama|Crime,10.137389,1995,,
4584,Sense and Sensibility,Sense and Sensibility,1995-12-13,16500000,135000000.0,136.0,Drama|Romance,10.673167,1995,,
5,Four Rooms,Four Rooms,1995-12-09,4000000,4300000.0,98.0,Crime|Comedy,9.026586,1995,,
9273,Ace Ventura: When Nature Calls,Ace Ventura: When Nature Calls,1995-11-10,30000000,212385533.0,90.0,Crime|Comedy|Adventure,8.205448,1995,,
11517,Money Train,Money Train,1995-11-21,60000000,35431113.0,103.0,Action|Comedy|Crime,7.337906,1995,,
8012,Get Shorty,Get Shorty,1995-10-20,30250000,115101622.0,105.0,Comedy|Thriller|Crime,12.669608,1995,,
1710,Copycat,Copycat,1995-10-27,0,0.0,124.0,Drama|Thriller,10.701801,1995,,
9691,Assassins,Assassins,1995-10-06,50000000,30303072.0,132.0,Action|Adventure|Crime,11.065939,1995,,
12665,Powder,Powder,1995-10-27,0,0.0,111.0,Drama|Fantasy|Science Fiction,12.133094,1995,,
451,Leaving Las Vegas,Leaving Las Vegas,1995-10-27,3600000,49800000.0,112.0,Drama|Romance,10.332025,1995,,
